"column"	"row"	"left-p-value"	"p-value-log-sum"	"right-p-value"	"two-tail-p-value"	"corrected-left-p-value"	"corrected-right-p-value"	"corrected-two-tail-p-value"	"mean-group1"	"mean-group2"	"N"	"N-group1"	"N-group2"	"U1"	"U2"
No VS Yes	A1BG	0.017933040411648005	-1.738487172838851	0.982066959588352	0.03586608082329601	0.09938035476425114	1	0.11223021021749122	-0.13808013439065112	0.030532801229508178	843	599	244	66350	79806
No VS Yes	A1CF	0.5	0	0.5	1	1	1	1	0	0	840	597	243	72535.5	72535.5
No VS Yes	A2BP1	0.5	0	0.5	1	1	1	1	0	0	836	595	241	71697.5	71697.5
No VS Yes	A2LD1	0.8870108648251055	0.8948922549122781	0.1129891351748945	0.225978270349789	1	0.4923822941528711	0.5023739051841207	-0.016986644407345576	-0.07543032786885248	843	599	244	76960	69196
No VS Yes	A2M	0.6089765493968208	0.19239776520084548	0.3910234506031792	0.7820469012063584	1	1	1	0.04178631051752922	-0.02239754098360654	843	599	244	73965	72191
No VS Yes	A2ML1	0.5	0	0.5	1	1	1	1	0	0	828	585	243	71077.5	71077.5
No VS Yes	A4GALT	0.07834034981916954	-1.070585068196529	0.9216596501808305	0.15668069963833908	0.33487336024023867	1	0.37477199395826216	-0.10825542570951588	-0.006516393442622994	843	599	244	68537	77619
No VS Yes	A4GNT	0.5	0	0.5	1	1	1	1	0	0	839	597	242	72237	72237
No VS Yes	AAA1	0.5	0	0.5	1	1	1	1	0	0	839	596	243	72414	72414
No VS Yes	AAAS	2.9953704782093027E-6	-5.5235481539719995	0.9999970046295218	5.990740956418605E-6	6.418156070922288E-5	1	7.402870131530741E-5	-0.05482470784641068	0.08141393442622949	843	599	244	58564.5	87591.5
No VS Yes	AACS	0.7676367981369316	0.518988433065387	0.2323632018630683	0.4647264037261366	1	0.8298045854125031	0.8668738492061044	0.03474123539232059	0.015573770491803307	843	599	244	75422	70734
No VS Yes	AACSL	0.5	0	0.5	1	1	1	1	0	0	840	596	244	72712	72712
No VS Yes	AADAC	0.14383124003138287	-0.774706152466673	0.8561687599686172	0.28766248006276574	0.5444639008210085	1	0.604423422998451	-0.009156829679595347	0.16149999999999987	833	593	240	67816	74504
No VS Yes	AADACL2	0.5	0	0.5	1	1	1	1	0	0	834	594	240	71280	71280
No VS Yes	AADACL4	0.5	0	0.5	1	1	1	1	0	0	840	596	244	72712	72712
No VS Yes	AADAT	0.9999972790596907	5.56527980377361	2.7209403092864903E-6	5.441880618572981E-6	1	7.605569366574872E-5	6.790520597958458E-5	0.271719532554257	-0.21846311475409835	843	599	244	87656.5	58499.5
No VS Yes	AAGAB	9.026338113723442E-4	-3.0440962165504377	0.9990973661886277	0.0018052676227446884	0.008063555096157062	1	0.009245020947139611	-0.0845742904841402	0.06319672131147544	843	599	244	63073	83083
No VS Yes	AAK1	0.036193046108597526	-1.4253649193300977	0.9638069538914025	0.07238609221719505	0.17814147356398352	1	0.20079109734682596	-0.051619365609348926	0.005635245901639348	843	599	244	67317.5	78838.5
No VS Yes	AAMP	0.44585411656705315	-0.09443133051891539	0.5541458834329469	0.8917082331341063	1	1	1	-0.04575959933222034	-0.014364754098360653	843	599	244	72641.5	73514.5
No VS Yes	AANAT	0.5	0	0.5	1	1	1	1	0	0	827	586	241	70613	70613
No VS Yes	AARS	0.9999999999998266	12.760908740649647	1.7341683644644945E-13	3.468336728928989E-13	1	9.060807375049489E-11	9.299249674392896E-11	0.1620617696160267	-0.1874795081967213	843	599	244	96402.5	49753.5
No VS Yes	AARS2	0.7552196203788006	0.4892966602955868	0.24478037962119942	0.48956075924239884	1	0.8623599231571889	0.9031124018723846	-0.00918614357262102	-0.04003073770491803	843	599	244	75293.5	70862.5
No VS Yes	AARSD1	0.09405262804875691	-0.9837320342405351	0.9059473719512431	0.18810525609751383	0.3894554768846819	1	0.4336977600700429	-0.019991652754590965	0.03088114754098363	843	599	244	68858	77298
No VS Yes	AASDH	0.10603392346499046	-0.9258762074108813	0.8939660765350095	0.21206784692998093	0.4290415525111419	1	0.4777563866105275	-0.047504173622704475	0.002561475409836051	843	599	244	69077	77079
No VS Yes	AASDHPPT	0.07210363652121998	-1.1095423039221983	0.92789636347878	0.14420727304243997	0.31380944070758215	1	0.35124451384004296	0.013397328881469115	0.033442622950819685	843	599	244	68396	77760
No VS Yes	AASS	7.153960820346361E-4	-3.145142638896238	0.9992846039179654	0.0014307921640692722	0.00665645021169853	1	0.0076123373178171175	-0.14128547579298834	0.1381762295081967	843	599	244	62855.5	83300.5
No VS Yes	AATF	0.955198814813629	1.3288042717944164	0.044801185186370995	0.08960237037274199	1	0.24030369848451744	0.238763894479582	0.061101836393989986	-1.229508196721217E-4	843	599	244	78520.5	67635.5
No VS Yes	AATK	0.9217508864884039	1.0711341378575994	0.07824911351159608	0.15649822702319216	1	0.37184752472616445	0.37464337077673715	0.22660267111853083	0.04391393442622949	843	599	244	77621	68535
No VS Yes	ABAT	0	-Infinity	1	0	0	1	0	-0.7056343906510852	0.5605809128630704	840	599	241	44153.5	100205.5
No VS Yes	ABCA1	0.2777684938332804	-0.41499344597658794	0.7222315061667196	0.5555369876665608	0.9034459056409824	1	0.9891801116464094	-0.0783722871452421	-0.059526748971193436	842	599	243	70893.5	74663.5
No VS Yes	ABCA10	0.02897612495262314	-1.5251896024885725	0.9710238750473769	0.05795224990524628	0.1479815784861157	1	0.16719425121325263	0.13498310810810815	0.29035123966942156	834	592	242	65645.5	77618.5
No VS Yes	ABCA11P	1.2744141222131855E-4	-3.8946340739873193	0.9998725585877787	2.548828244426371E-4	0.0015476005106280144	1	0.0017726100046647154	-0.06848080133555928	0.10721311475409835	843	599	244	61352	84804
No VS Yes	ABCA12	0.0014773634359909749	-2.8298705685525998	0.998522636564009	0.0029547268719819497	0.012262417407408592	1	0.013985707194047894	-0.26707339715719075	0.32163954713114756	842	598	244	63439.5	82472.5
No VS Yes	ABCA13	0.9970723082269628	2.5322013023928376	0.0029276917730372554	0.005855383546074511	1	0.025881811392269048	0.024852145494347076	0.33189393939393935	-0.1267916666666666	834	594	240	79959.5	62600.5
No VS Yes	ABCA17P	0.9740738121674619	1.5748532044340497	0.025926187832538083	0.05185237566507617	1	0.15492607902159194	0.15268726285075968	0.22308013355592662	0.02345679012345679	842	599	243	78996	66561
No VS Yes	ABCA2	0.23293508438560018	-0.5175972128866255	0.7670649156143998	0.46587016877120035	0.7908227615003957	1	0.8686097931238677	-0.07606010016694488	-0.015040983606557352	843	599	244	70740	75416
No VS Yes	ABCA3	0.008064733200495944	-2.089893326712908	0.9919352667995041	0.016129466400991888	0.051483417426850205	1	0.05800743679015385	-0.11655258764607687	0.10305327868852454	843	599	244	65364	80792
No VS Yes	ABCA4	0.012897534512870179	-1.8838555379597104	0.9871024654871299	0.025795069025740358	0.07622188537376903	1	0.08583052278535455	0.13826406343906517	0.35977485245901647	843	599	244	65930.5	80225.5
No VS Yes	ABCA5	0.9999820928541484	4.74696585205263	1.7907145851592254E-5	3.581429170318451E-5	1	3.6932582086831515E-4	3.335410521187343E-4	-0.02506677796327214	-0.35446721311475415	843	599	244	86329	59827
No VS Yes	ABCA6	0.001224519588377937	-2.9115021352004584	0.998775480411622	0.002449039176755874	0.010462069455923364	1	0.011955934668125166	-0.22915551839464887	0.10797131147540978	842	598	244	63256.5	82655.5
No VS Yes	ABCA7	0.14986324105291887	-0.75379367424696	0.8501367589470812	0.29972648210583774	0.5622837898978692	1	0.6237261566452875	-0.05957429048414021	0.030684647302904586	840	599	241	68881	75478
No VS Yes	ABCA8	1.0023310316270573E-4	-3.9989452910462506	0.9998997668968372	2.0046620632541146E-4	0.0012631106636650925	1	0.0014459822606346581	-0.22092809364548502	0.34157024793388424	840	598	242	60516	84200
No VS Yes	ABCA9	0.003964060491494725	-2.400134735965146	0.9960359395085052	0.00792812098298945	0.028302614097823413	1	0.03204111885568743	-0.09317420435510892	0.24922131147540982	841	597	244	64345.5	81322.5
No VS Yes	ABCB1	0.2356621750043923	-0.5109954705553175	0.7643378249956077	0.4713243500087846	0.7975565753304272	1	0.8761335778260357	-0.03673622704507517	0.027704918032786876	843	599	244	70768.5	75387.5
No VS Yes	ABCB10	0.7464143839028228	0.4688553841399934	0.25358561609717717	0.5071712321943543	1	0.8839059355477555	0.9268724841636196	0.0023038397328881484	-0.04055327868852459	843	599	244	75204.5	70951.5
No VS Yes	ABCB11	0.5	0	0.5	1	1	1	1	0	0	837	595	242	71995	71995
No VS Yes	ABCB4	0.008512501419540908	-2.0662300453210185	0.9914874985804591	0.017025002839081815	0.05381918753521101	1	0.0606500844146801	-0.11479966611018355	0.04913934426229507	843	599	244	65427.5	80728.5
No VS Yes	ABCB5	0.5	0	0.5	1	1	1	1	0	0	828	587	241	70733.5	70733.5
No VS Yes	ABCB6	0.9999291656526352	4.149725339076083	7.083434736476768E-5	1.4166869472953536E-4	1	0.0011889551039965989	0.0010836272494383417	0.03466611018363938	-0.1898547717842324	840	599	241	84283	60076
No VS Yes	ABCB7	0.09394801450204737	-0.9842655102532951	0.9060519854979526	0.18789602900409474	0.38910136006264623	1	0.43331342044097315	-0.05029215358931553	-0.01956967213114753	843	599	244	68856	77300
No VS Yes	ABCB8	0.022899999820377326	-1.6301035344309973	0.9771000001796226	0.04579999964075465	0.12212334371625981	1	0.13771087393827025	-0.08182791736227045	0.018893565573770487	843	599	244	66674.5	79481.5
No VS Yes	ABCB9	0.9578717318809755	1.3567337510449853	0.04212826811902454	0.08425653623804907	1	0.22977722683655327	0.22740336939373854	0.026552587646076736	-0.0917418032786886	843	599	244	78613.5	67542.5
No VS Yes	ABCC1	0.8943083804617936	0.9274467477442966	0.10569161953820638	0.21138323907641277	1	0.4679874253216062	0.4765301761987015	-6.844741235392497E-4	-0.04051229508196723	843	599	244	77085	69071
No VS Yes	ABCC10	0.9999999046647723	7.020746550107747	9.53352277677233E-8	1.906704555354466E-7	1	4.326605648603335E-6	3.916624871417132E-6	0.09852253756260433	-0.10823770491803279	843	599	244	89776.5	56379.5
No VS Yes	ABCC11	0.0011706504655293881	-2.931064052979538	0.9988293495344707	0.0023413009310587762	0.010065124276832212	1	0.011509937049984242	-0.5828643216080402	0.009549180327868995	841	597	244	63105	82563
No VS Yes	ABCC12	0.5	0	0.5	1	1	1	1	0	0	827	584	243	70956	70956
No VS Yes	ABCC13	0.026673873759308464	-1.5621722895277603	0.9733261262406916	0.05334774751861693	0.1384446066208427	1	0.15627760942881785	0.09314285714285696	0.4327777777777779	838	595	243	66149.5	78435.5
No VS Yes	ABCC2	0.9603607644505618	1.3843091382033499	0.0396392355494381	0.0792784710988762	1	0.2188373619048768	0.21620147290976988	0.4653589315525878	0.3076434426229508	843	599	244	78704.5	67451.5
No VS Yes	ABCC3	0.03032352572236352	-1.5048471637382104	0.9696764742776365	0.06064705144472704	0.15366885939930403	1	0.17361688217044155	-0.06149415692821356	0.14071721311475416	843	599	244	67063	79093
No VS Yes	ABCC4	0.9994155844125199	3.2330243264612566	5.844155874801804E-4	0.0011688311749603608	1	0.0068401128237126	0.006414563116662341	0.19102671118530892	-0.20334016393442617	843	599	244	83486.5	62669.5
No VS Yes	ABCC5	0.011309465580464195	-1.9416182931231842	0.9886905344195358	0.02261893116092839	0.06828236448388708	1	0.07690738532725476	-0.05913188647746245	0.05749999999999999	843	599	244	65768.5	80387.5
No VS Yes	ABCC6	2.0421825841693275E-4	-3.68981673189199	0.999795781741583	4.084365168338655E-4	0.002299091409813171	1	0.002629608500323437	-0.0012437395659431257	0.4220491803278688	843	599	244	61745.5	84410.5
No VS Yes	ABCC6P1	0.8535499672328086	0.7655394768184137	0.14645003276719137	0.29290006553438275	1	0.5961271110062043	0.612900455472799	0.08543624161073832	0.06138429752066113	838	596	242	75456	68776
No VS Yes	ABCC6P2	0.01402687200714059	-1.846904244567163	0.9859731279928594	0.02805374401428118	0.0816178100769571	1	0.09190532826029062	0.03156928213689486	0.2351229508196721	843	599	244	66035.5	80120.5
No VS Yes	ABCC8	0.5	0	0.5	1	1	1	1	0	0	833	593	240	71160	71160
No VS Yes	ABCC9	0.0111394038774556	-1.9482731212811077	0.9888605961225444	0.0222788077549112	0.06739537791297885	1	0.07586485053840668	-0.149474123539232	0.02747950819672134	843	599	244	65750	80406
No VS Yes	ABCD1	0.9999806289370006	4.712838133613195	1.9371062999429256E-5	3.874212599885851E-5	1	3.9591188639856564E-4	3.5721642600847957E-4	0.14161101836393988	-0.07924180327868853	843	599	244	86271	59885
No VS Yes	ABCD2	0.6774720735459626	0.32232407313040523	0.3225279264540374	0.6450558529080748	1	1	1	0.0954259323873122	0.02129650411522641	842	599	243	74251.5	71305.5
No VS Yes	ABCD3	4.8321848395094236E-5	-4.315835475127599	0.9999516781516049	9.664369679018847E-5	6.790719343081623E-4	1	7.777680132281479E-4	-0.050275459098497545	0.1335450819672131	843	599	244	60577.5	85578.5
No VS Yes	ABCD4	1.7598180857003598E-8	-7.754532215713374	0.9999999824018191	3.5196361714007196E-8	8.378461012223419E-7	1	9.449226121822459E-7	-0.10970784641068448	0.09926229508196718	843	599	244	55401	90755
No VS Yes	ABCE1	0.9999999750033455	7.602118100266372	2.4996654579556576E-8	4.999330915911315E-8	1	1.3766400820746605E-6	1.2702165345826045E-6	0.10852253756260431	-0.08229508196721312	843	599	244	90556	55600
No VS Yes	ABCF1	0.9999957927260746	5.375997384006562	4.207273925360688E-6	8.414547850721377E-6	1	1.117752552504234E-4	9.911170032031763E-5	0.06902337228714522	-0.08979508196721313	843	599	244	87359.5	58796.5
No VS Yes	ABCF2	0.9990090313543394	3.0035095008166053	9.90968645660617E-4	0.001981937291321234	1	0.010684110101918727	0.01003128072162265	0.05211185308848083	-0.060122950819672116	843	599	244	82994.5	63161.5
No VS Yes	ABCF3	0.7551706167119328	0.4891815448381266	0.2448293832880672	0.4896587665761344	1	0.862383464695064	0.9032114317481571	0.017570951585976626	0.03006147540983608	843	599	244	75293	70863
No VS Yes	ABCG1	0.004560860521650556	-2.3389679216543118	0.9954391394783495	0.009121721043301112	0.031882214356663253	1	0.03601497959685075	-0.16353088480801342	0.07522540983606556	843	599	244	64718	81438
No VS Yes	ABCG2	2.6990285111549994E-4	-3.56867529461437	0.9997300971488845	5.398057022309999E-4	0.002894637051147654	1	0.0033221446071764076	-0.13008347245409016	0.17397540983606563	843	599	244	61984	84172
No VS Yes	ABCG4	0.7227031845109302	0.4160150862774419	0.27729681548906976	0.5545936309781395	1	0.9398664685995964	0.9877593233494929	0.03987479131886493	0.023189300411522614	842	599	243	74668	70889
No VS Yes	ABCG5	0.603410767936551	0.18227213760049543	0.396589232063449	0.793178464126898	1	1	1	0.025979899497487406	0.011028806584362116	840	597	243	73371.5	71699.5
No VS Yes	ABCG8	0.30300044579350816	-0.36178923286355136	0.6969995542064918	0.6060008915870163	0.9645742983806148	1	1	0.003953082077051933	0.011803266393442601	841	597	244	71185	74483
No VS Yes	ABHD1	0.007372429045154283	-2.1291757324334943	0.9926275709548458	0.014744858090308566	0.04776724535869915	1	0.05387412108772057	-0.02806862745098037	0.17358490566037738	722	510	212	47836	60284
No VS Yes	ABHD10	0.4705371926319936	-0.05124150105246478	0.5294628073680063	0.9410743852639872	1	1	1	0.03113522537562608	0.03112704918032786	843	599	244	72841	73315
No VS Yes	ABHD11	0.9479002830932224	1.2599272894823879	0.052099716906777616	0.10419943381355523	1	0.2707564221906165	0.2701020051925728	0.07912353923205342	-0.007397540983606551	843	599	244	78287.5	67868.5
No VS Yes	ABHD12	0.16408741206987204	-0.7070855997563693	0.8359125879301279	0.3281748241397441	0.6018015111137117	1	0.6668546461403635	0.006151919866444072	0.05649590163934425	843	599	244	69943	76213
No VS Yes	ABHD12B	0.9125057781273856	1.0182562500396999	0.08749422187261435	0.1749884437452287	1	0.4051976725223324	0.40980801266481154	0.24473244147157197	0.058360655737705054	842	598	244	77298.5	68613.5
No VS Yes	ABHD13	0.30286107000978935	-0.3620758831288396	0.6971389299902107	0.6057221400195787	0.9642812536858558	1	1	-0.02792153589315524	-0.017397540983606553	843	599	244	71423	74733
No VS Yes	ABHD14A	0.008974373058786955	-2.0430807661473227	0.991025626941213	0.01794874611757391	0.056216046670427844	1	0.06328804285132437	-0.04924040066777964	0.0954098360655738	843	599	244	65490	80666
No VS Yes	ABHD14A-ACY1	0.5	0	0.5	1	1	1	1	0	0	842	598	244	72956	72956
No VS Yes	ABHD14B	0.14242345017188868	-0.7796913946248711	0.8575765498281114	0.28484690034377735	0.5402387647342843	1	0.6001783981289578	-0.10264607679465773	-0.022192622950819668	843	599	244	69649	76507
No VS Yes	ABHD15	0.028793520785188598	-1.5280167987027482	0.9712064792148114	0.057587041570377195	0.14715966216197343	1	0.16637617270375388	-0.08441569282136897	0.029364754098360656	843	599	244	66990	79166
No VS Yes	ABHD16A	0.5	0	0.5	1	1	1	1	0	0	841	597	244	72834	72834
No VS Yes	ABHD2	0.10292600769867394	-0.9403031382663598	0.897073992301326	0.20585201539734788	0.4187109720255298	1	0.4667979654742664	0.08172787979966614	0.13495901639344263	843	599	244	69022	77134
No VS Yes	ABHD3	4.975367106134776E-4	-3.3029587382144747	0.9995024632893865	9.950734212269552E-4	0.004900099348560093	1	0.0056043701228141694	-0.03655258764607684	0.17852459016393438	843	599	244	62523.5	83632.5
No VS Yes	ABHD4	6.923180172091481E-6	-5.159691359248625	0.999993076819828	1.3846360344182962E-5	1.3086608753869026E-4	1	1.510424436474391E-4	-0.09426544240400667	0.10022540983606557	843	599	244	59143	87013
No VS Yes	ABHD5	0.7986784132951246	0.5984816018600316	0.2013215867048755	0.402643173409751	1	0.7503804595363541	0.7792439875173802	0.03748747913188648	0.013319502074688811	840	599	241	74841.5	69517.5
No VS Yes	ABHD6	0.08333995941180489	-1.0413550152122573	0.9166600405881951	0.16667991882360977	0.3522543772939946	1	0.3937897629992691	0.013038397328881469	0.06227459016393449	843	599	244	68644	77512
No VS Yes	ABHD8	0.5966155740160538	0.16997545917289378	0.4033844259839462	0.8067688519678924	1	1	1	-0.03877295492487477	-0.006991701244813249	840	599	241	72957.5	71401.5
No VS Yes	ABI1	0.9998706855582475	3.888296806506614	1.2931444175251494E-4	2.586288835050299E-4	1	0.001953328672787989	0.0017949866345987717	0.0778380634390651	-0.056762295081967215	843	599	244	84792	61364
No VS Yes	ABI2	0.8856901518900645	0.8891981680456305	0.1143098481099355	0.228619696219871	1	0.49665069828063013	0.5071395111988146	-0.0021035058430717963	-0.053668032786885256	843	599	244	76938	69218
No VS Yes	ABI3	0.4542487129525968	-0.07970106310895442	0.5457512870474033	0.9084974259051936	1	1	1	-0.0250959933222036	-0.01658811475409834	843	599	244	72709.5	73446.5
No VS Yes	ABI3BP	0.020499082275404867	-1.6792704286985425	0.9795009177245951	0.040998164550809735	0.11138927987358001	1	0.12564590149674387	-0.20192821368948263	0.0691803278688525	843	599	244	66526	79630
No VS Yes	ABL1	7.084814044340804E-4	-3.149363745615449	0.999291518595566	0.0014169628088681607	0.006598137832793993	1	0.007550588691502749	-0.048505843071786306	0.05276639344262297	843	599	244	62846.5	83309.5
No VS Yes	ABL2	0.4166268576012794	-0.14619916794839877	0.5833731423987206	0.8332537152025588	1	1	1	-0.01746243739565945	-0.033196721311475406	843	599	244	72403	73753
No VS Yes	ABLIM1	0.016997994501578184	-1.7621567194499927	0.9830020054984219	0.03399598900315637	0.0950777199996318	1	0.10740097177012671	-0.13267946577629383	-0.011721311475409835	843	599	244	66280.5	79875.5
No VS Yes	ABLIM2	0.63376397701847	0.2381664910897287	0.36623602298152996	0.7324720459630599	1	1	1	-0.13504164273789646	-0.11846302868852457	843	599	244	74174	71982
No VS Yes	ABLIM3	2.046331064486928E-6	-5.6890232141469905	0.9999979536689355	4.092662128973856E-6	4.622847904772742E-5	1	5.3118583568216735E-5	-0.6062437395659431	0.0459336099585063	840	599	241	57527	86832
No VS Yes	ABO	0.21987192638868402	-0.5499961251980208	0.780128073611316	0.43974385277736805	0.7565569476565711	1	0.8331622954946005	0.3513293051359515	0.44570895522388043	465	331	134	21163	23191
No VS Yes	ABP1	0.9970652625073595	2.5311543254073614	0.0029347374926405045	0.005869474985281009	1	0.02589915369750349	0.024880859532987545	0.39755425709515857	0.06368852459016403	843	599	244	81911	64245
No VS Yes	ABR	0.35513171268894433	-0.2590815643321359	0.6448682873110556	0.7102634253778887	1	1	1	-0.04102671118530883	-0.026374999999999996	839	599	240	70701.5	73058.5
No VS Yes	ABRA	0.5	0	0.5	1	1	1	1	0	0	750	528	222	58608	58608
No VS Yes	ABT1	0.9973601178757765	2.5772674625726952	0.002639882124223447	0.005279764248446894	1	0.02388671316398809	0.022817763751983532	0.07697829716193653	-0.013524590163934423	843	599	244	82021.5	64134.5
No VS Yes	ABTB1	0.8558841971744775	0.7737034023437923	0.14411580282552255	0.2882316056510451	1	0.5885065559470287	0.6051200729807692	-0.023589315525876463	-0.06497950819672131	843	599	244	76483	69673
No VS Yes	ABTB2	0.9999999554010369	7.350675219108456	4.4598963078179565E-8	8.919792615635913E-8	1	2.2550696542036352E-6	2.067788556641786E-6	0.20391485809682802	-0.3759166666666666	839	599	240	88843.5	54916.5
No VS Yes	ACAA1	0.006553879546858099	-2.1806458628629697	0.993446120453142	0.013107759093716198	0.04340214609240412	1	0.04890091670682076	-0.03127712854757929	0.09450819672131146	843	599	244	65124	81032
No VS Yes	ACAA2	0.9996841326835828	3.5003581082062416	3.1586731641713994E-4	6.317346328342799E-4	1	0.004104864991474528	0.0038096645792435988	0.008739565943238714	-0.19168032786885247	843	599	244	84035.5	62120.5
No VS Yes	ACACA	0.03433823207228798	-1.4490471058945544	0.965661767927712	0.06867646414457595	0.17020436753515256	1	0.19214888231141347	-0.015525876460767902	0.10655737704918038	843	599	244	67241	78915
No VS Yes	ACACB	0.19556758043898853	-0.6141927021453525	0.8044324195610115	0.39113516087797706	0.6908946925459898	1	0.7621842950378253	-0.0467779632721202	0.03329918032786887	843	599	244	70328.5	75827.5
No VS Yes	ACAD10	0.012115231486651779	-1.9113745727575047	0.9878847685133483	0.024230462973303557	0.0722905042469995	1	0.08140876240840998	-0.0328297161936561	0.05002049180327867	843	599	244	65853	80303
No VS Yes	ACAD11	5.565537208734872E-4	-3.2542511339047118	0.9994434462791265	0.0011131074417469744	0.005397855863988124	1	0.006161855566552051	-0.10896494156928212	0.01110655737704917	843	599	244	62625	83531
No VS Yes	ACAD8	9.663816976979156E-6	-5.014847106785184	0.999990336183023	1.9327633953958312E-5	1.7213251620621002E-4	1	1.9840765595960128E-4	-0.0339482470784641	0.16514344262295083	843	599	244	59379.5	86776.5
No VS Yes	ACAD9	0.9568956298564326	1.3463432677536447	0.04310437014356744	0.08620874028713488	1	0.23335221849507803	0.23141555800697503	0.05093489148580969	2.868852459016614E-4	843	599	244	78579	67577
No VS Yes	ACADL	-	-	-	-	-	-	-	-	-	1	1	0	-	-
No VS Yes	ACADM	0.7973353084088208	0.5948629042444429	0.20266469159117922	0.40532938318235845	1	0.7535946022907772	0.7830296588080127	0.01206176961602672	-0.08399590163934423	843	599	244	75746	70410
No VS Yes	ACADS	0.004583198462164595	-2.3368363033623183	0.9954168015378354	0.00916639692432919	0.03200542668386839	1	0.03617034665512314	-0.13828595317725756	0.06958506224066388	839	598	241	63782.5	80335.5
No VS Yes	ACADSB	7.219321586093841E-6	-5.141500476700175	0.9999927806784139	1.4438643172187682E-5	1.3545867031292282E-4	1	1.5616572819515307E-4	-0.31489148580968285	0.18084016393442617	843	599	244	59172.5	86983.5
No VS Yes	ACADVL	0.03413705211403506	-1.45168949098429	0.9658629478859649	0.06827410422807012	0.16937197733812817	1	0.19120690239903584	0.0028797996661101425	0.0985655737704918	843	599	244	67232.5	78923.5
No VS Yes	ACAN	0.9382757270103244	1.1818744980069225	0.06172427298967559	0.12344854597935118	1	0.30903083801243725	0.31009751250261824	0.1407262103505843	-0.12040983606557375	843	599	244	78017	68139
No VS Yes	ACAP1	0.8210756531746946	0.6617137339980455	0.17892434682530545	0.3578486936506109	1	0.6883030800942512	0.7127940205785434	-0.05625208681135227	-0.18815573770491806	843	599	244	76026	70130
No VS Yes	ACAP2	0.3439438657863005	-0.2804534323146306	0.6560561342136995	0.687887731572601	1	1	1	-0.033038397328881475	-0.029528688524590178	843	599	244	71790	74366
No VS Yes	ACAP3	0.9245172285823369	1.0880671714468921	0.07548277141766313	0.15096554283532626	1	0.3614835330617442	0.36413646618790757	0.012045075125208683	-0.0406967213114754	843	599	244	77682.5	68473.5
No VS Yes	ACAT1	0.09847021709316067	-0.9616751832415799	0.9015297829068394	0.19694043418632134	0.40397173620038956	1	0.4500454443663418	0.026352253756260432	0.06702868852459014	843	599	244	68941	77215
No VS Yes	ACAT2	0.9815162358653912	1.725107069939003	0.018483764134608838	0.036967528269217675	1	0.11733447407193902	0.11519916249301859	0.06336393989983302	-0.026721311475409855	843	599	244	79766.5	66389.5
No VS Yes	ACBD3	0.15511093224491007	-0.736157282654528	0.84488906775509	0.31022186448982014	0.5774014370395566	1	0.6401408539452218	0.0037979966611018487	0.03395491803278687	843	599	244	69824.5	76331.5
No VS Yes	ACBD4	0.001201782307258703	-2.91965195269844	0.9987982176927412	0.002403564614517406	0.010302363514939248	1	0.011764937821287817	-0.19121869782971618	0.07018442622950821	843	599	244	63346.5	82809.5
No VS Yes	ACBD5	0.9964865745485938	2.4527407088987325	0.003513425451406149	0.007026850902812298	1	0.029980347748451885	0.028908972510923926	0.04610948831385645	-0.08813590573770493	843	599	244	81720.5	64435.5
No VS Yes	ACBD6	0.08442115327875982	-1.0352444695366627	0.9155788467212402	0.16884230655751964	0.3560119702734455	1	0.3978836221490202	-0.015250417362270488	0.030942622950819676	843	599	244	68666.5	77489.5
No VS Yes	ACBD7	0.9999997287307216	6.566599270102333	2.7126927837350934E-7	5.425385567470187E-7	1	1.0370833180894934E-5	9.448981342593162E-6	0.28207846410684473	-0.35176229508196727	843	599	244	89143	57013
No VS Yes	ACCN1	0.5896263786996232	0.15739746807303698	0.4103736213003768	0.8207472426007536	1	1	1	0.11178991596638635	0.015144628099173477	837	595	242	72713.5	71276.5
No VS Yes	ACCN2	0.9883815744846534	1.9297773625289534	0.011618425515346642	0.023236851030693284	1	0.08017225083854335	0.07861486193797726	0.04639398998330549	-0.16032786885245906	843	599	244	80354.5	65801.5
No VS Yes	ACCN3	0.9426222940771497	1.2155945268157442	0.0573777059228503	0.1147554118457006	1	0.2915674597481098	0.2920773204071747	0.17404682274247493	0.020286885245901633	842	598	244	78005.5	67906.5
No VS Yes	ACCN5	0.5	0	0.5	1	1	1	1	0	0	841	598	243	72657	72657
No VS Yes	ACCS	0.8092425725311594	0.627597265049617	0.19075742746884056	0.3815148549376811	1	0.7198266850986229	0.7481597727904078	-0.036802772954924866	-0.09381722614107885	840	599	241	74963	69396
No VS Yes	ACCSL	0.5	0	0.5	1	1	1	1	0	0	839	596	243	72414	72414
No VS Yes	ACD	0.9999999855669226	7.8406410531232575	1.4433077399900185E-8	2.886615479980037E-8	1	8.650082887581355E-7	7.981080547564886E-7	0.10292988313856427	-0.11411885245901635	843	599	244	90866.5	55289.5
No VS Yes	ACE	0.6160064246160017	0.20526128342083275	0.3839935753839983	0.7679871507679966	1	1	1	0.022157190635451497	-0.018870292887029284	837	598	239	72393	70529
No VS Yes	ACE2	0.9265497908499161	1.1008757255748933	0.07345020915008388	0.14690041830016776	1	0.3543311817829685	0.3564407982498831	0.3659265442404001	0.0888271604938272	842	599	243	77417	68140
No VS Yes	ACER1	0.5	0	0.5	1	1	1	1	0	0	841	597	244	72834	72834
